Features,Labels
Food/kulfi/129.jpg,kulfi
Food/chapati/200.jpg,chapati
Food/jalebi/167.jpg,jalebi
Food/chai/078.jpg,chai
Food/chole_bhature/229.jpg,chole_bhature
Food/kadai_paneer/183.jpg,kadai_paneer
Food/butter_naan/137.jpg,butter_naan
Food/fried_rice/035.jpg,fried_rice
Food/burger/020.jpg,burger
Food/pakode/125.jpg,pakode
Food/dal_makhani/196.jpg,dal_makhani
Food/kaathi_rolls/049.jpg,rolls
Food/kaathi_rolls/129.jpg,rolls
Food/kulfi/134.jpg,kulfi
Food/dhokla/145.jpg,dhokla
Food/kaathi_rolls/064.jpg,rolls
Food/dhokla/219.jpg,dhokla
Food/burger/137.jpg,burger
Food/chole_bhature/363.jpg,chole_bhature
Food/chapati/054.jpg,chapati
Food/chole_bhature/072.jpg,chole_bhature
Food/masala_dosa/074.jpg,masala_dosa
Food/jalebi/250.jpg,jalebi
Food/kaathi_rolls/290.jpg,rolls
Food/jalebi/234.jpg,jalebi
Food/idli/246.jpg,idli
Food/chole_bhature/184.jpg,chole_bhature
Food/masala_dosa/068.jpg,masala_dosa
Food/pakode/217.jpg,pakode
Food/chole_bhature/381.jpg,chole_bhature
Food/chapati/118.jpg,chapati
Food/pav_bhaji/109.jpg,pav_bhaji
Food/butter_naan/086.jpg,butter_naan
Food/kadai_paneer/342.jpg,kadai_paneer
Food/paani_puri/008.jpg,paani_puri
Food/chole_bhature/084.jpg,chole_bhature
Food/kadai_paneer/137.jpg,kadai_paneer
Food/momos/165.jpg,momos
Food/kaathi_rolls/014.jpg,rolls
Food/samosa/017.jpg,samosa
Food/dhokla/132.jpg,dhokla
Food/burger/295.jpg,burger
Food/fried_rice/026.jpg,fried_rice
Food/chapati/389.jpg,chapati
Food/pav_bhaji/325.jpg,pav_bhaji
Food/dal_makhani/249.jpg,dal_makhani
Food/samosa/150.jpg,samosa
Food/chole_bhature/346.jpg,chole_bhature
Food/chapati/202.jpg,chapati
Food/chapati/315.jpg,chapati
Food/chole_bhature/234.jpg,chole_bhature
Food/kadai_paneer/382.jpg,kadai_paneer
Food/samosa/020.jpg,samosa
Food/dhokla/166.jpg,dhokla
Food/burger/135.jpg,burger
Food/fried_rice/262.jpg,fried_rice
Food/kaathi_rolls/235.jpg,rolls
Food/dhokla/148.jpg,dhokla
Food/burger/184.jpg,burger
Food/dal_makhani/026.jpg,dal_makhani
Food/butter_naan/304.jpg,butter_naan
Food/chapati/174.jpg,chapati
Food/pakode/165.jpg,pakode
Food/kulfi/037.jpg,kulfi
Food/fried_rice/346.jpg,fried_rice
Food/pakode/152.jpg,pakode
Food/idli/196.jpg,idli
Food/pav_bhaji/192.jpg,pav_bhaji
Food/kadai_paneer/111.jpg,kadai_paneer
Food/momos/054.jpg,momos
Food/dhokla/272.jpg,dhokla
Food/fried_rice/136.jpg,fried_rice
Food/fried_rice/166.jpg,fried_rice
Food/burger/233.jpg,burger
Food/pizza/224.jpg,pizza
Food/kaathi_rolls/059.jpg,rolls
Food/samosa/068.jpg,samosa
Food/chai/349.jpg,chai
Food/idli/284.jpg,idli
Food/kulfi/205.jpg,kulfi
Food/chapati/279.jpg,chapati
Food/momos/242.jpg,momos
Food/chai/120.jpg,chai
Food/masala_dosa/091.jpg,masala_dosa
Food/pizza/078.jpg,pizza
Food/pav_bhaji/065.jpg,pav_bhaji
Food/pizza/194.jpg,pizza
Food/pav_bhaji/179.jpg,pav_bhaji
Food/idli/016.jpg,idli
Food/pav_bhaji/023.jpg,pav_bhaji
Food/paani_puri/055.jpg,paani_puri
Food/kadai_paneer/106.jpg,kadai_paneer
Food/masala_dosa/240.jpg,masala_dosa
Food/chai/141.jpg,chai
Food/chapati/333.jpg,chapati
Food/dhokla/058.jpg,dhokla
Food/masala_dosa/127.jpg,masala_dosa
Food/kadai_paneer/348.jpg,kadai_paneer
Food/chole_bhature/106.jpg,chole_bhature
Food/pav_bhaji/309.jpg,pav_bhaji
Food/butter_naan/287.jpg,butter_naan
Food/butter_naan/245.jpg,butter_naan
Food/fried_rice/075.jpg,fried_rice
Food/chapati/226.jpg,chapati
Food/kadai_paneer/302.jpg,kadai_paneer
Food/butter_naan/087.jpg,butter_naan
Food/butter_naan/083.jpg,butter_naan
Food/pakode/058.jpg,pakode
Food/masala_dosa/183.jpg,masala_dosa
Food/jalebi/006.jpg,jalebi
Food/momos/234.jpg,momos
Food/kadai_paneer/400.jpg,kadai_paneer
Food/kadai_paneer/068.jpg,kadai_paneer
Food/chapati/257.jpg,chapati
Food/kadai_paneer/286.jpg,kadai_paneer
Food/chai/223.jpg,chai
Food/chapati/246.jpg,chapati
Food/kadai_paneer/020.jpg,kadai_paneer
Food/jalebi/268.jpg,jalebi
Food/dhokla/092.jpg,dhokla
Food/jalebi/047.jpg,jalebi
Food/pav_bhaji/276.jpg,pav_bhaji
Food/pizza/043.jpg,pizza
Food/pav_bhaji/254.jpg,pav_bhaji
Food/pav_bhaji/151.jpg,pav_bhaji
Food/kadai_paneer/324.jpg,kadai_paneer
Food/chai/203.jpg,chai
Food/pav_bhaji/330.jpg,pav_bhaji
Food/dal_makhani/242.jpg,dal_makhani
Food/pav_bhaji/028.jpg,pav_bhaji
Food/burger/036.jpg,burger
Food/pizza/150.jpg,pizza
Food/idli/040.jpg,idli
Food/dhokla/236.jpg,dhokla
Food/momos/131.jpg,momos
Food/fried_rice/331.jpg,fried_rice
Food/kulfi/130.jpg,kulfi
Food/momos/171.jpg,momos
Food/idli/031.jpg,idli
Food/pakode/170.jpg,pakode
Food/momos/082.jpg,momos
Food/samosa/103.jpg,samosa
Food/kulfi/200.jpg,kulfi
Food/kaathi_rolls/048.jpg,rolls
Food/butter_naan/010.jpg,butter_naan
Food/pizza/250.jpg,pizza
Food/masala_dosa/247.jpg,masala_dosa
Food/fried_rice/092.jpg,fried_rice
Food/burger/211.jpg,burger
Food/chapati/113.jpg,chapati
Food/chole_bhature/150.jpg,chole_bhature
Food/chai/345.jpg,chai
Food/samosa/049.jpg,samosa
Food/masala_dosa/309.jpg,masala_dosa
Food/momos/097.jpg,momos
Food/butter_naan/088.jpg,butter_naan
Food/pizza/072.jpg,pizza
Food/chapati/156.jpg,chapati
Food/kaathi_rolls/125.jpg,rolls
Food/kulfi/089.jpg,kulfi
Food/momos/318.jpg,momos
Food/pizza/042.jpg,pizza
